item_id,item_type,item_name,country,user_type,interest,vibe,budget_usd,travel_month,popularity_score,season_match,difficulty_match,interest_match,budget_match,is_offbeat,recommendation_score
9141,trek,Auyuittuq Trail,Canada,couple,spiritual,offbeat,4876.2,5,0.88,0.67,0.57,0.34,0.44,1,0.49
9735,destination,Blue Lagoon,Iceland,couple,food,budget,7270.53,12,0.56,0.33,0.83,0.33,0.17,0,0.28
9208,event,Sacred Ganga Ceremony,India,couple,food,spiritual,1221.22,7,0.64,0.5,0.86,0.6,0.88,0,0.63
9593,trek,Auyuittuq Trail,Canada,family,food,relaxed,7281.88,2,0.84,0.17,0.16,0.14,0.15,0,0.1
9939,trek,Dragon Back Ridge Trek,Bhutan,couple,adventure,spiritual,1902.03,11,0.64,0.1,0.74,0.26,0.8,0,0.33
9890,trek,Simien Mountains Trek,Ethiopia,family,adventure,relaxed,4756.1,4,0.57,0.67,0.16,0.99,0.46,0,0.72
9218,destination,Mcleodganj,India,family,culture,thrill,1848.05,9,0.66,0.5,0.98,0.6,0.84,0,0.64
9406,event,Island Fire Dance Festival,Indonesia,family,spiritual,budget,901.79,2,0.63,0.17,0.97,0.17,0.91,0,0.36
9410,trek,Jotunheimen Route,Norway,family,culture,luxury,2444.78,11,0.71,0.67,0.56,0.31,0.74,0,0.53
9161,destination,Canmore,Canada,solo,spiritual,thrill,6438.16,11,0.59,0.67,0.8,0.48,0.28,0,0.55
9795,destination,Siquijor,Philippines,family,adventure,budget,693.48,3,0.69,0.86,0.95,0.64,0.98,1,0.8
9252,destination,Jinja,Uganda,couple,food,relaxed,2175.66,5,0.7,0.67,0.89,0.19,0.8,0,0.52
9436,trek,Dragon Back Ridge Trek,Bhutan,couple,offbeat,offbeat,7136.63,10,0.43,0.17,0.74,0.37,0.17,1,0.23
9114,destination,Ella Rock,Sri Lanka,couple,nature,luxury,5778.36,12,0.74,0.1,0.77,0.74,0.36,0,0.46
9531,trek,Anaga Rural Trail,Spain,solo,nature,relaxed,951.05,12,0.4,0.1,0.92,0.89,0.92,0,0.62
9352,trek,Simien Mountains Trek,Ethiopia,family,offbeat,budget,7183.05,7,0.41,0.5,0.16,0.8,0.16,0,0.46
9888,event,Sacred Ganga Ceremony,India,family,nature,offbeat,324.59,8,0.73,0.67,0.96,0.45,0.98,1,0.66
9044,trek,Sandakphu Trek,India,solo,offbeat,spiritual,3645.52,11,0.78,0.84,0.85,0.84,0.59,0,0.8
9154,destination,Flam,Norway,solo,adventure,thrill,792.99,6,0.62,0.89,0.83,0.66,0.96,0,0.8
9146,event,Tea Blossom Festival,Sri Lanka,solo,spiritual,offbeat,7472.44,4,0.84,0.99,0.81,0.18,0.11,1,0.44
9894,destination,Blue Lagoon,Iceland,couple,nature,luxury,7774.08,8,0.72,0.95,0.95,0.23,0.11,0,0.46
9785,trek,Upper Mustang Trek,Nepal,couple,offbeat,spiritual,5598.54,9,0.35,0.9,0.57,0.91,0.35,1,0.84
9582,event,Arctic Light Festival,Iceland,family,adventure,budget,3825.22,6,0.88,0.33,0.84,0.68,0.56,0,0.56
9722,trek,Auyuittuq Trail,Canada,solo,spiritual,relaxed,4861.83,1,0.94,0.1,0.98,0.33,0.44,0,0.33
9884,trek,Ha Giang Loop Trail,Vietnam,couple,food,thrill,2164.15,4,0.94,0.17,0.74,0.46,0.77,1,0.43
9208,event,Lantern River Parade,Vietnam,couple,spiritual,spiritual,7183.33,4,0.48,0.83,0.79,0.65,0.15,0,0.57
9375,destination,Blue Lagoon,Iceland,family,adventure,relaxed,7830.35,4,0.67,0.67,0.97,0.34,0.11,0,0.4
9315,event,Desert Moon Festival,Morocco,family,culture,relaxed,4380.61,10,0.51,0.83,0.89,0.46,0.49,1,0.64
9935,event,Desert Moon Festival,Morocco,couple,culture,spiritual,1150.48,12,0.47,0.88,0.93,0.17,0.88,1,0.6
9932,destination,Mcleodganj,India,family,adventure,offbeat,5728.04,1,0.53,0.67,0.97,0.37,0.36,1,0.53
9230,destination,Meknes,Morocco,solo,spiritual,luxury,4609.66,3,0.79,0.85,0.9,0.82,0.5,0,0.79
9903,event,Lantern River Parade,Vietnam,couple,offbeat,budget,2540.68,12,0.93,0.1,0.8,0.14,0.71,0,0.28
9747,trek,Auyuittuq Trail,Canada,couple,food,budget,5495.14,8,0.66,0.96,0.57,0.38,0.37,0,0.6
9557,trek,Upper Mustang Trek,Nepal,solo,food,relaxed,5718.84,12,0.49,0.67,0.98,0.23,0.34,1,0.48
9204,event,Tea Blossom Festival,Sri Lanka,solo,offbeat,thrill,3745.29,3,0.46,0.94,0.94,0.63,0.57,0,0.76
9018,trek,Dragon Back Ridge Trek,Bhutan,couple,spiritual,budget,4447.13,4,0.58,0.97,0.74,0.92,0.49,0,0.91
9410,destination,Gili Air,Indonesia,family,culture,luxury,3436.33,1,0.62,0.5,0.98,0.17,0.64,0,0.44
9959,destination,Tawang,India,solo,food,offbeat,4519.34,11,0.79,0.1,0.93,0.77,0.51,1,0.51
9982,trek,Upper Mustang Trek,Nepal,couple,nature,offbeat,7588.63,10,0.91,0.88,0.57,0.67,0.11,1,0.57
9270,destination,Hoi An Ancient Town,Vietnam,family,culture,budget,4887.07,6,0.64,0.83,0.85,0.8,0.46,0,0.76
9454,destination,Mcleodganj,India,family,spiritual,luxury,7597.19,8,0.54,0.67,0.86,0.89,0.13,0,0.62
9901,event,Desert Moon Festival,Morocco,family,spiritual,budget,4679.93,9,0.65,0.67,0.92,0.19,0.45,1,0.47
9972,trek,Anaga Rural Trail,Spain,couple,nature,thrill,3057.69,1,0.55,0.67,0.95,0.88,0.66,0,0.78
9960,event,Lantern River Parade,Vietnam,family,culture,luxury,5164.93,4,0.79,0.83,0.98,0.93,0.39,0,0.82
9637,destination,Sacred Valley,Peru,couple,offbeat,offbeat,1258.94,4,0.64,0.83,0.83,0.85,0.91,1,0.85
9336,event,Yak Festival,Bhutan,family,adventure,offbeat,396.52,11,0.63,0.99,0.93,0.46,0.98,1,0.77
9366,trek,Upper Mustang Trek,Nepal,couple,adventure,thrill,2811.55,10,0.39,0.98,0.57,0.72,0.69,1,0.79
9414,event,Arctic Light Festival,Iceland,family,culture,offbeat,7538.98,3,0.83,0.83,0.89,0.31,0.11,1,0.44
9666,trek,Sandakphu Trek,India,family,nature,relaxed,5621.82,8,0.69,0.67,0.56,0.88,0.35,0,0.7
9380,destination,Ella Rock,Sri Lanka,solo,adventure,offbeat,4072.81,1,0.56,1.0,0.79,0.99,0.56,1,0.96
9640,destination,Blue Lagoon,Iceland,couple,nature,thrill,5467.33,6,0.6,0.99,0.84,0.38,0.39,0,0.64
9904,trek,Upper Mustang Trek,Nepal,couple,food,thrill,4117.22,12,0.81,0.67,0.57,0.26,0.53,1,0.48
9176,event,Arctic Light Festival,Iceland,family,food,budget,7259.35,3,0.69,0.83,0.82,0.32,0.14,0,0.44
9500,event,Island Fire Dance Festival,Indonesia,solo,spiritual,luxury,7857.06,2,0.84,0.17,0.79,0.15,0.07,0,0.13
9092,trek,Dragon Back Ridge Trek,Bhutan,couple,spiritual,relaxed,2508.48,7,0.53,0.67,0.74,0.87,0.73,0,0.77
9571,trek,Ha Giang Loop Trail,Vietnam,family,culture,offbeat,4712.42,1,0.73,0.1,0.56,0.38,0.46,1,0.31
9769,destination,Jinja,Uganda,couple,spiritual,offbeat,6250.16,12,0.71,0.99,0.83,0.42,0.3,1,0.64
9605,destination,Flam,Norway,family,food,budget,7724.71,11,0.57,0.5,0.8,0.16,0.12,0,0.26
9061,trek,Jotunheimen Route,Norway,couple,culture,relaxed,117.09,9,0.38,0.84,0.74,0.24,0.39,0,0.52
9022,event,Desert Moon Festival,Morocco,family,offbeat,spiritual,3475.13,8,0.45,0.5,0.84,0.91,0.6,1,0.71
9354,trek,Mount Batur Sunrise Trek,Indonesia,solo,offbeat,offbeat,7612.61,4,0.82,0.96,0.92,0.67,0.11,1,0.63
9591,destination,Hoi An Ancient Town,Vietnam,family,culture,spiritual,3150.47,12,0.53,0.1,0.82,0.69,0.68,0,0.49
9926,event,Lantern River Parade,Vietnam,family,offbeat,relaxed,6191.94,12,0.83,0.1,1.0,0.47,0.27,0,0.36
9651,trek,Sandakphu Trek,India,solo,spiritual,relaxed,112.32,8,0.51,0.67,0.85,0.19,0.37,0,0.45
9618,destination,Tawang,India,solo,adventure,budget,3374.5,11,0.56,0.1,0.9,0.5,0.65,0,0.42
9306,trek,Auyuittuq Trail,Canada,solo,nature,spiritual,6480.5,7,0.59,0.99,0.98,0.67,0.25,0,0.75
9034,destination,Gili Air,Indonesia,solo,offbeat,luxury,4955.62,5,0.55,0.97,0.94,0.12,0.46,0,0.55
9161,destination,Pai Canyon,Thailand,family,food,luxury,7792.87,4,0.56,0.67,0.77,0.45,0.11,1,0.43
9527,event,Lantern River Parade,Vietnam,solo,adventure,budget,7952.22,8,0.91,0.17,0.96,0.45,0.05,0,0.26
9095,trek,Ha Giang Loop Trail,Vietnam,couple,adventure,spiritual,1717.83,9,0.56,0.98,0.74,0.64,0.83,1,0.8
9022,destination,Sacred Valley,Peru,family,offbeat,budget,3567.51,3,0.61,0.67,0.98,0.65,0.63,0,0.69
9144,trek,Dragon Back Ridge Trek,Bhutan,solo,food,thrill,6846.26,7,0.72,0.67,0.85,0.59,0.2,0,0.59
9198,trek,Jotunheimen Route,Norway,solo,adventure,relaxed,2646.2,6,0.63,0.98,0.85,0.6,0.71,0,0.77
9663,trek,Auyuittuq Trail,Canada,couple,spiritual,luxury,3097.62,6,0.67,0.83,0.57,0.47,0.66,0,0.63
9269,event,Sacred Ganga Ceremony,India,family,food,budget,1664.08,2,0.89,0.1,0.79,0.7,0.82,0,0.52
9341,destination,Hoi An Ancient Town,Vietnam,solo,adventure,thrill,7324.83,9,0.73,0.33,0.78,0.23,0.17,0,0.23
9961,event,Yak Festival,Bhutan,family,spiritual,spiritual,4612.44,4,0.42,0.1,0.95,0.59,0.46,0,0.43
9562,event,Desert Moon Festival,Morocco,family,offbeat,offbeat,5513.57,7,0.33,0.33,0.98,0.89,0.35,1,0.62
9722,destination,Flam,Norway,couple,nature,budget,225.6,11,0.61,0.5,0.93,0.89,0.45,0,0.69
9681,destination,Gili Air,Indonesia,couple,adventure,offbeat,2937.12,8,0.78,1.0,0.97,0.14,0.7,1,0.61
9349,event,Yak Festival,Bhutan,family,food,relaxed,560.03,6,0.34,0.33,0.81,0.77,0.96,0,0.65
9101,event,Sushi Heritage Week,Japan,family,nature,luxury,6666.02,3,0.74,0.83,0.83,0.23,0.21,0,0.5
9526,event,Yak Festival,Bhutan,couple,nature,luxury,3246.01,8,0.85,0.67,0.85,0.23,0.63,0,0.51
9945,destination,Pai Canyon,Thailand,couple,nature,luxury,4756.09,2,0.61,0.93,0.99,0.83,0.48,1,0.83
9698,event,Sacred Ganga Ceremony,India,couple,adventure,budget,6346.12,1,0.86,0.1,0.93,0.36,0.25,0,0.31
9243,event,Arctic Light Festival,Iceland,family,offbeat,budget,6998.23,12,0.74,0.1,0.82,0.73,0.17,0,0.35
9058,destination,Canmore,Canada,couple,adventure,budget,6462.73,6,0.7,0.88,0.96,0.68,0.27,0,0.72
9819,trek,Simien Mountains Trek,Ethiopia,solo,offbeat,luxury,2703.02,2,0.61,0.94,0.98,0.61,0.71,0,0.78
9928,event,Nomad Eagle Festival,Mongolia,solo,nature,budget,4223.3,1,0.67,0.1,0.98,0.8,0.51,1,0.53
9392,event,Desert Moon Festival,Morocco,couple,offbeat,relaxed,904.35,1,0.57,0.1,0.77,0.97,0.91,1,0.64
9251,trek,Jotunheimen Route,Norway,couple,spiritual,offbeat,7646.6,12,0.62,0.5,0.74,0.46,0.1,1,0.37
9021,trek,Anaga Rural Trail,Spain,family,culture,offbeat,6461.44,3,0.54,0.86,0.9,0.34,0.25,1,0.56
9532,event,Tea Blossom Festival,Sri Lanka,solo,spiritual,thrill,7334.35,12,0.88,0.1,0.85,0.22,0.13,0,0.15
9135,trek,Anaga Rural Trail,Spain,family,nature,luxury,2771.86,7,0.51,0.83,0.9,0.96,0.7,0,0.87
9063,trek,Dragon Back Ridge Trek,Bhutan,solo,culture,relaxed,4205.09,11,0.46,0.1,0.85,0.67,0.52,0,0.47
9675,event,Tea Blossom Festival,Sri Lanka,family,offbeat,budget,1331.64,7,0.82,0.5,0.93,0.62,0.86,0,0.65
9893,destination,Hoi An Ancient Town,Vietnam,couple,culture,spiritual,3035.01,11,0.55,0.1,0.85,0.77,0.69,0,0.53
9019,trek,Dragon Back Ridge Trek,Bhutan,couple,culture,luxury,7119.62,5,0.85,0.96,0.74,0.65,0.17,0,0.62
9338,event,Tea Blossom Festival,Sri Lanka,family,spiritual,luxury,1695.41,7,0.85,0.5,0.79,0.22,0.82,0,0.47
9479,event,Tea Blossom Festival,Sri Lanka,family,food,luxury,1834.39,1,0.75,0.67,0.97,0.32,0.8,0,0.58
9320,event,Desert Moon Festival,Morocco,couple,offbeat,relaxed,4349.18,1,0.9,0.1,0.79,0.88,0.49,1,0.54
9764,destination,Flam,Norway,solo,food,relaxed,7665.5,8,0.74,0.91,0.91,0.48,0.13,0,0.54
9537,trek,Mount Batur Sunrise Trek,Indonesia,couple,culture,offbeat,3018.57,5,0.36,0.98,0.95,0.3,0.67,1,0.66
9811,destination,Hoi An Ancient Town,Vietnam,family,spiritual,offbeat,7870.15,10,0.78,0.17,0.91,0.79,0.1,1,0.4
9013,event,Sushi Heritage Week,Japan,family,offbeat,budget,3487.49,12,0.55,0.1,0.97,0.29,0.6,0,0.34
9156,event,Andean Music Festival,Peru,family,adventure,relaxed,385.71,9,0.47,0.67,0.99,0.41,0.98,0,0.64
9968,destination,Blue Lagoon,Iceland,family,spiritual,relaxed,4832.03,9,0.71,0.83,0.91,0.38,0.47,0,0.6
9181,trek,Dragon Back Ridge Trek,Bhutan,solo,culture,budget,6163.7,9,0.57,0.33,0.85,0.76,0.28,0,0.55
9733,event,Island Fire Dance Festival,Indonesia,family,spiritual,budget,1856.2,5,0.96,0.67,0.82,0.45,0.8,0,0.62
9761,trek,Auyuittuq Trail,Canada,couple,food,spiritual,4274.87,5,0.52,0.67,0.57,0.36,0.52,0,0.51
9938,destination,Hoi An Ancient Town,Vietnam,solo,culture,thrill,7199.74,2,0.56,0.91,0.82,0.59,0.18,0,0.58
9150,destination,Pai Canyon,Thailand,couple,nature,thrill,7711.94,5,0.78,0.5,0.95,0.6,0.12,1,0.45
9930,destination,Pai Canyon,Thailand,couple,spiritual,luxury,455.97,11,0.66,0.99,0.87,0.28,0.91,1,0.68
9174,trek,Sandakphu Trek,India,couple,food,thrill,1040.61,12,0.81,0.85,0.74,0.12,0.91,0,0.56
9786,trek,Jotunheimen Route,Norway,family,culture,spiritual,4029.34,9,0.5,0.92,0.56,0.14,0.55,0,0.52
9167,destination,Jinja,Uganda,solo,food,offbeat,2961.37,3,0.63,0.96,0.89,0.12,0.7,1,0.58
9666,event,Nomad Eagle Festival,Mongolia,family,adventure,thrill,1085.8,11,0.85,0.83,1.0,0.78,0.89,1,0.84
9571,trek,Anaga Rural Trail,Spain,solo,culture,luxury,7841.46,8,0.38,0.67,0.92,0.17,0.08,0,0.33
9138,event,Andean Music Festival,Peru,family,adventure,spiritual,4538.53,9,0.43,0.67,0.84,0.21,0.47,0,0.47
9279,destination,Nikko,Japan,solo,culture,budget,6112.94,7,0.51,0.5,0.97,0.88,0.32,0,0.67
9356,destination,Cusco Old Town,Peru,family,food,budget,1560.9,9,0.61,0.92,0.92,0.68,0.87,0,0.82
9833,trek,Anaga Rural Trail,Spain,couple,offbeat,relaxed,574.85,5,0.39,0.85,0.95,0.81,0.97,0,0.86
9350,destination,Flam,Norway,family,nature,spiritual,2743.71,3,0.54,0.67,0.79,0.88,0.73,0,0.78
9686,event,Yak Festival,Bhutan,couple,adventure,relaxed,5246.99,8,0.73,0.67,0.76,0.47,0.38,0,0.56
9609,event,Sushi Heritage Week,Japan,family,food,relaxed,5809.57,4,0.73,0.98,0.79,0.96,0.32,0,0.9
9764,destination,Siquijor,Philippines,family,adventure,luxury,7632.86,8,0.55,0.33,0.91,0.7,0.13,1,0.43
9277,event,Island Fire Dance Festival,Indonesia,couple,nature,thrill,4984.63,7,0.45,0.96,0.78,0.82,0.42,0,0.8
9475,event,Andean Music Festival,Peru,couple,spiritual,offbeat,2533.31,9,0.43,0.67,0.88,0.75,0.72,1,0.73
9298,event,Tea Blossom Festival,Sri Lanka,couple,offbeat,thrill,3111.74,9,0.48,0.17,0.98,0.78,0.64,0,0.57
9572,event,Sacred Ganga Ceremony,India,couple,nature,relaxed,7888.62,9,0.43,0.83,0.91,0.47,0.06,0,0.5
9998,destination,Blue Lagoon,Iceland,solo,culture,relaxed,3354.47,10,0.68,0.67,1.0,0.33,0.65,0,0.56
9719,event,Arctic Light Festival,Iceland,family,offbeat,spiritual,4554.37,1,0.39,0.94,0.79,0.64,0.47,0,0.73
9992,event,Tea Blossom Festival,Sri Lanka,couple,culture,thrill,2909.19,4,0.34,0.92,0.92,0.33,0.67,0,0.65
9252,event,Sushi Heritage Week,Japan,family,food,spiritual,7665.28,11,0.65,0.1,0.89,0.93,0.09,0,0.43
9048,event,Island Fire Dance Festival,Indonesia,couple,food,relaxed,4172.01,12,0.56,0.33,0.92,0.14,0.52,0,0.34
9375,destination,Canmore,Canada,couple,food,thrill,5229.56,12,0.64,0.5,0.96,0.13,0.42,0,0.39
9530,trek,Sandakphu Trek,India,family,spiritual,relaxed,7085.72,2,0.68,0.1,0.56,0.41,0.17,0,0.2
9647,destination,Flam,Norway,solo,spiritual,relaxed,6320.83,5,0.67,0.99,0.93,0.12,0.29,0,0.53
9382,destination,Blue Lagoon,Iceland,couple,nature,luxury,4167.86,9,0.78,0.83,0.82,0.18,0.55,0,0.53
9376,destination,Siquijor,Philippines,solo,culture,thrill,2169.94,11,0.72,0.1,0.96,0.3,0.8,1,0.37
9442,event,Yak Festival,Bhutan,couple,culture,offbeat,207.25,6,0.44,0.33,0.89,1.0,1.0,1,0.75
9550,destination,Sacred Valley,Peru,family,culture,thrill,1520.92,8,0.78,0.84,0.84,0.26,0.88,0,0.61
9503,event,Nomad Eagle Festival,Mongolia,couple,nature,luxury,519.22,12,0.52,0.67,0.83,0.84,0.96,1,0.8
9573,trek,Colca Canyon Trek,Peru,family,adventure,relaxed,5616.42,12,0.38,0.5,0.56,0.68,0.35,0,0.56
9784,destination,Tawang,India,couple,spiritual,offbeat,3246.54,12,0.62,0.1,0.79,0.97,0.67,1,0.6
9397,event,Yak Festival,Bhutan,family,nature,spiritual,4353.23,8,0.33,0.67,0.92,0.36,0.49,0,0.54
9926,trek,Jotunheimen Route,Norway,solo,nature,luxury,6674.9,9,0.75,0.99,0.85,0.92,0.22,0,0.88
9699,destination,Nikko,Japan,couple,adventure,offbeat,5397.84,3,0.78,0.1,0.9,0.11,0.4,1,0.23
9347,trek,Anaga Rural Trail,Spain,family,spiritual,offbeat,338.42,1,0.38,0.67,0.9,0.44,1.0,1,0.65
9976,destination,Meknes,Morocco,solo,nature,offbeat,5682.54,1,0.72,0.67,0.84,0.37,0.37,1,0.52
9767,trek,Simien Mountains Trek,Ethiopia,couple,nature,thrill,7233.82,7,0.75,0.5,0.57,0.64,0.15,0,0.43
9397,event,Tea Blossom Festival,Sri Lanka,family,offbeat,offbeat,501.84,8,0.38,0.33,0.79,0.84,0.96,1,0.67
9203,destination,Pai Canyon,Thailand,solo,offbeat,spiritual,4645.7,4,0.55,0.67,0.93,0.91,0.49,1,0.77
9694,trek,Sandakphu Trek,India,couple,food,relaxed,3254.93,12,0.52,0.98,0.74,0.19,0.64,0,0.59
9499,event,Nomad Eagle Festival,Mongolia,couple,culture,budget,4874.57,9,0.95,0.89,0.86,0.26,0.43,1,0.57
9279,trek,Anaga Rural Trail,Spain,family,adventure,thrill,3603.28,12,0.58,0.1,0.9,0.69,0.6,0,0.49
9397,trek,Colca Canyon Trek,Peru,couple,offbeat,offbeat,6440.08,4,0.41,0.83,0.74,0.83,0.25,1,0.73
9023,event,Tea Blossom Festival,Sri Lanka,family,spiritual,relaxed,6239.38,4,0.73,0.88,0.87,0.18,0.26,0,0.51
9134,destination,Hoi An Ancient Town,Vietnam,couple,culture,luxury,6840.8,10,0.75,0.17,0.79,0.76,0.23,0,0.48
9084,destination,Mcleodganj,India,solo,offbeat,spiritual,5415.59,6,0.78,0.94,0.9,0.35,0.4,0,0.62
9919,trek,Jotunheimen Route,Norway,solo,culture,offbeat,4614.67,7,0.39,0.86,0.85,0.35,0.47,1,0.6
9142,event,Tea Blossom Festival,Sri Lanka,family,culture,thrill,2629.51,6,0.86,0.67,0.98,0.48,0.7,0,0.63
9499,destination,Ella Rock,Sri Lanka,solo,food,offbeat,1307.49,2,0.67,0.97,0.97,0.35,0.9,1,0.71
9993,destination,Jinja,Uganda,couple,spiritual,offbeat,7161.95,1,0.63,0.93,0.89,0.47,0.19,1,0.55
